name,moviecount
Hugo Weaving,5
Laurence Fishburne,3
Carrie-Anne Moss,3
Keanu Reeves,7
Charlize Theron,2
J.T. Walsh,2
Cuba Gooding Jr.,4
Kiefer Sutherland,2
Kevin Bacon,3
Jack Nicholson,5
Tom Cruise,3
Meg Ryan,5
Jerry O'Connell,2
Bonnie Hunt,2
Marshall Bell,2
Helen Hunt,3
Greg Kinnear,2
Robin Williams,3
Max von Sydow,2
Rick Yune,2
James Cromwell,2
Tom Hanks,12
Steve Zahn,2
Rosie O'Donnell,2
Nathan Lane,2
Gene Hackman,3
Zach Grenier,2
Ben Miles,3
Rain,2
Sam Rockwell,2
Gary Sinise,2
Oliver Platt,2
Danny DeVito,2
Bill Paxton,3
Philip Seymour Hoffman,2
